size,localized_1,localized_2,delocalized_1,delocalized_2,delocalized_3
12,0.020406097125434286,0.14605570070583695,0.57178563226649,1.4106358825243603,-2.0176951394238394
18,0.0012415561127268049,0.015846221458460263,-2.755496134685502,-1.2462254795914234,1.092128093889551
24,6.085326290872217e-6,0.0005291608513289248,-4.451261081019794,5.674468788152538,2.463482284147247
30,-6.64699395525048e-7,0.0001486878432377381,3.685991368211883,-0.58035056032677,-0.814939816343685
36,-1.499654800340977e-8,3.291255998938425e-5,0.19986675242078888,-2.280056465384501,1.3519735490515608
42,-5.934053248779492e-11,2.7937017419432664e-6,1.6015772369333812,1.583460777564027,-6.121278645505825
