kappa_list,localized_1,localized_2,delocalized_1,delocalized_2,delocalized_3
0.0,1.9984014443252818e-14,3.141592653589803,3.1415926535897567,3.1415926535897767,6.661338147750939e-15
0.1,-8.727539914765714e-6,3.140371855326582,2.5204651468712105,3.5009681170751086,-1.1120475012735676
0.2,-1.4121460525373664e-5,3.139618368581336,3.3594588725737733,3.7248247027949586,-2.659656629480068
0.3,-1.41214657096711e-5,3.1396196116356223,3.093361933208352,3.030821739248454,-1.8384405121855218
0.4,-8.72754836978018e-6,3.1403738666348233,3.099680587901858,2.999741919045146,2.425134794053573
0.5,-2.3092638912203256e-14,3.1415926535898433,3.1415926535896017,3.141592653590125,-3.1415926535897825
0.6,8.727548361786575e-6,3.1428114405447065,3.1835047192777424,3.283443388134373,-2.4251347940533465
0.7,1.41214656808053e-5,3.143565695544015,3.18982337397121,3.2523635679306993,1.8384405121864251
0.8,1.4121460468530245e-5,3.1435669385982994,2.9237264346054417,2.558360604384869,2.6596566294800494
0.9,8.727539945851959e-6,3.142813451852964,3.762720160310261,2.782217190104604,1.1120475012800748
1.0,-2.9753977059954195e-14,3.141592653589822,3.141592653589886,3.141592653589937,-3.979039320256561e-13
