kappa_list,localized_1,localized_2,delocalized_1,delocalized_2,delocalized_3
0.0,1.3322676295501878e-14,3.141592653589785,3.1415926535902083,3.141592653589899,-9.059419880941277e-14
0.1,-8.72753999558995e-6,3.140371855326576,2.5204651468705785,3.5009681170748914,-1.1120475012793092
0.2,-1.4121460445881695e-5,3.1396183685813064,3.3594588725742387,3.7248247027950123,-2.6596566294806228
0.3,-1.4121465718996973e-5,3.1396196116356556,3.093361933208324,3.0308217392483465,-1.838440512185945
0.4,-8.727548364895199e-6,3.1403738666348673,3.0996805879019274,2.999741919045146,2.4251347940533234
0.5,8.881784197001252e-15,3.1415926535897767,3.1415926535899317,3.1415926535900964,-3.1415926535897896
0.6,8.727548351572523e-6,3.142811440544662,3.1835047192777073,3.283443388134412,-2.425134794053553
0.7,1.4121465668814892e-5,3.143565695543967,3.189823373971163,3.252363567931493,1.838440512186036
0.8,1.4121460419680432e-5,3.1435669385982776,2.923726434606177,2.558360604384848,2.659656629479983
0.9,8.727539988484523e-6,3.1428134518529776,3.7627201603089246,2.7822171901046713,1.1120475012789885
1.0,-5.595524044110789e-14,3.141592653589815,3.141592653589468,3.141592653589791,-1.4432899320127035e-13
