theta_list,rshift_strain_0,rshift_strain_1percent
0.0,-0.006206557434877111,0.015357217368879137
0.1,-0.0060826220493092375,0.01540712516760102
0.2,-0.0057157568053791755,0.01555508077142916
0.30000000000000004,-0.005120587462797521,0.015795818599469724
0.4,-0.0043208415453071655,0.01612069154580542
0.5,-0.003348402399150094,0.01651787377616379
0.6000000000000001,-0.002242038104628393,0.016972661655110202
0.7000000000000001,-0.0010458559150373413,0.017467885253785616
0.8,0.00019245616035983425,0.01798444022277753
0.9,0.0014235305268019787,0.018501943134587442
1.0,0.0025982881342411376,0.018999502748702844
1.1,0.003669895104193701,0.019456585805840507
1.2000000000000002,0.004595629848642905,0.019853940528084
1.3,0.0053385862449121,0.020174526364246763
1.4000000000000001,0.00586914496626355,0.020404387504875755
1.5,0.006166154310953814,0.02053340303825858
1.6,0.0062177734537971815,0.020555850295220102
1.7000000000000002,0.0060219445024839325,0.02047073050281876
1.8,0.0055864745392486875,0.02028182614493171
1.9000000000000001,0.004928724377148813,0.019997484552109614
2.0,0.0040749164392641386,0.0196301482505387
2.1,0.0030590893534735595,0.019195675321739266
2.2,0.001921740939811182,0.01871250904960727
2.3000000000000003,0.0007082136902323294,0.018200763536071238
2.4000000000000004,-0.0005331128934358669,0.0176812906069878
2.5,-0.001752751037544051,0.01717478465663871
2.6,-0.0029020776179787293,0.016700968595359
2.7,-0.003935272610707352,0.016277888640154965
2.8000000000000003,-0.004811145791568012,0.015921330939473247
2.9000000000000004,-0.005494778860555838,0.01564436090165325
3.0,-0.005958917524300646,0.015456977721167725
3.1,-0.006185058038773269,0.01536587229562243
