strain,rshift_wannier
-3.0,-0.001615061787544922
-2.94,-0.0015855239877319558
-2.88,-0.0015558384157584079
-2.82,-0.0015260070035833032
-2.76,-0.0014960317038294824
-2.7,-0.0014659144901105316
-2.64,-0.0014356573566424342
-2.58,-0.001405262318688679
-2.52,-0.0013747314125258441
-2.46,-0.0013440666952129446
-2.4,-0.0013132702448516987
-2.34,-0.0012823441603521009
-2.28,-0.0012512905623073142
-2.22,-0.0012201115916613944
-2.16,-0.0011888094106140823
-2.1,-0.0011573862028113075
-2.04,-0.0011258441727512209
-1.98,-0.0010941855458556577
-1.92,-0.0010624125690983247
-1.86,-0.001030527510338447
-1.8,-0.0009985326585465915
-1.74,-0.000966430323884483
-1.68,-0.0009342228379755545
-1.62,-0.0009019125532749419
-1.56,-0.0008695018433490727
-1.5,-0.0008369931031304246
-1.44,-0.0008043887485907241
-1.38,-0.0007716912168669832
-1.32,-0.0007389029660918267
-1.26,-0.0007060264754718376
-1.2,-0.0006730642456207064
-1.14,-0.0006400187979461577
-1.08,-0.0006068926748452052
-1.02,-0.0005736884399749921
-0.96,-0.0005404086776860485
-0.9,-0.0005070559936424103
-0.84,-0.0004736330140742038
-0.78,-0.0004401423864747093
-0.72,-0.00040658677888756736
-0.66,-0.0003729688803369451
-0.6,-0.0003392914006936868
-0.54,-0.00030555707052199165
-0.48,-0.0002717686409933803
-0.42,-0.0002379288841292475
-0.36,-0.0002040405925402901
-0.3,-0.00017010657930804517
-0.24,-0.000136129678156861
-0.18,-0.00010211274312069347
-0.12,-6.80586489143874e-5
-0.06,-3.397029033979757e-5
0.0,1.4941718097495293e-7
0.06,3.429753815631874e-5
0.12,6.847111691741913e-5
0.18,0.00010266717754768331
0.24,0.00013688272406599792
0.3,0.00017111474047624162
0.36,0.0002053601907353125
0.42,0.00023961601924951608
0.48,0.00027387914988083565
0.54,0.0003081464873731038
0.6,0.0003424149164495202
0.66,0.0003766813022904232
0.72,0.0004109424903580797
0.78,0.00044519530678155124
0.84,0.0004794365580245994
0.9,0.0005136630313914073
0.96,0.0005478714946227285
1.02,0.0005820586963444155
1.08,0.0006162213659737022
1.14,0.0006503562136585532
1.2,0.0006844599306584891
1.26,0.0007185291890588505
1.32,0.0007525606421601803
1.38,0.0007865509242147439
1.44,0.0008204966508105631
1.5,0.0008543944185160005
1.56,0.0008882408054670332
1.62,0.0009220323708953159
1.68,0.0009557656555610482
1.74,0.0009894371816426978
1.8,0.001023043452687391
1.86,0.001056580953997296
1.92,0.0010900461521751162
1.98,0.0011234354956759756
2.04,0.0011567454144546358
2.1,0.001189972320220088
2.16,0.001223112606338224
2.22,0.0012561626479896265
2.28,0.001289118801969256
2.34,0.0013219774070609511
2.4,0.0013547347835804321
2.46,0.0013873872338250992
2.52,0.0014199310419235106
2.58,0.0014523624737494468
2.64,0.0014846777768333403
2.7,0.0015168731808198445
2.76,0.0015489448967207459
2.82,0.0015808891175367451
2.88,0.0016127020179384178
2.94,0.0016443797542698988
3.0,0.0016759184645512802
