th_angle_list,shift_current_strain_0,shift_current_strain_2_dot_66_percent
0.0,1.6904926314450814,4.296657250469589
0.10471975511965977,1.653551670559567,4.195320194541675
0.20943951023931953,1.5443432851561931,3.895737942371226
0.3141592653589793,1.3676404057170066,3.4110036759331734
0.41887902047863906,1.1311657959879946,2.762302608683949
0.5235987755982988,0.8452545311454105,1.9779860900754165
0.6283185307179586,0.5224023054173288,1.0923325155390036
0.7330382858376183,0.17671931028493013,0.14404919611931702
0.8377580409572781,-0.17668644859345267,-0.8254193367567954
0.9424777960769379,-0.5223694437258536,-1.7737026561764877
1.0471975511965976,-0.8452216694539318,-2.659356230712906
1.1519173063162573,-1.1311329342965215,-3.4436727493214097
1.2566370614359172,-1.3676075440255282,-4.09237381657064
1.361356816555577,-1.5443104234647116,-4.577108083008675
1.4660765716752366,-1.6535188088681232,-4.876690335179128
1.5707963267948966,-1.6904597697536259,-4.978027391107036
1.6755160819145563,-1.6535188088681239,-4.876690335179131
1.780235837034216,-1.5443104234647196,-4.577108083008664
1.8849555921538759,-1.3676075440255362,-4.092373816570614
1.9896753472735356,-1.131132934296529,-3.4436727493213843
2.0943951023931953,-0.8452216694539435,-2.6593562307128784
2.199114857512855,-0.5223694437258629,-1.7737026561764495
2.3038346126325147,-0.17668644859346452,-0.8254193367567636
2.4085543677521746,0.17671931028491725,0.14404919611934727
2.5132741228718345,0.5224023054173156,1.0923325155390347
2.617993877991494,0.845254531145398,1.9779860900754447
2.722713633111154,1.1311657959879862,2.7623026086839784
2.827433388230814,1.3676404057169984,3.4110036759331894
2.9321531433504733,1.5443432851561882,3.8957379423712455
3.036872898470133,1.6535516705595654,4.195320194541685
3.141592653589793,1.690492631445082,4.296657250469587
