theta_list,rshift_strain_0,rshift_strain_2_dot_66_percent
0.0,-2.887559126644138e-5,0.1493953749870458
0.1,-2.8897093414090402e-5,0.14939536138675502
0.2,-2.897007239854619e-5,0.14939531473463358
0.30000000000000004,-2.9092606837953557e-5,0.1493952373293913
0.4,-2.925833740285278e-5,0.1493951294159242
0.5,-2.9461518167158867e-5,0.14939499620844002
0.6000000000000001,-2.969397376549898e-5,0.1493948419997094
0.7000000000000001,-2.994649042858415e-5,0.14939467209093882
0.8,-3.020883630079932e-5,0.1493944933062859
0.9,-3.0470355427099158e-5,0.14939431207863613
1.0,-3.072103225776465e-5,0.14939413640807644
1.1,-3.0950421255042296e-5,0.1493939736337803
1.2000000000000002,-3.114965611540079e-5,0.1493938303089651
1.3,-3.131153765924715e-5,0.14939371275471805
1.4000000000000001,-3.1427956627347876e-5,0.14939362694694633
1.5,-3.149505003927326e-5,0.14939357705961853
1.6,-3.151147115643609e-5,0.14939356446398033
1.7000000000000002,-3.1474536231196345e-5,0.1493935913453198
1.8,-3.138631920105594e-5,0.14939365511856315
1.9000000000000001,-3.125078172707843e-5,0.1493937531592125
2.0,-3.107325228777735e-5,0.14939387972679047
2.1,-3.086033347899106e-5,0.14939403132501225
2.2,-3.0621093732217006e-5,0.14939419963547845
2.3000000000000003,-3.0364812447670655e-5,0.14939437790022556
2.4000000000000004,-3.010173837231742e-5,0.14939455858492168
2.5,-2.984230932618549e-5,0.1493947349793381
2.6,-2.9596851476703936e-5,0.14939489951541915
2.7,-2.9374749278626195e-5,0.1493950463527767
2.8000000000000003,-2.9186027741096446e-5,0.14939517073212005
2.9000000000000004,-2.9037265498691086e-5,0.14939526826402774
3.0,-2.8934860963762673e-5,0.14939533573810926
3.1,-2.8881947940761504e-5,0.14939537015695908
