th_angle_list,shift_current_strain_0,shift_current_strain_2_dot_66_percent
0.0,2.2921905339567057e-5,0.14715498792064452
0.10471975511965977,2.2921905085182992e-5,0.14705192413721244
0.20943951023931953,2.2921905128563618e-5,0.14674723717110136
0.3141592653589793,2.2921905427939478e-5,0.14625424330566844
0.41887902047863906,2.2921905458866193e-5,0.14559448873543102
0.5235987755982988,2.2921905433281563e-5,0.1447968079024022
0.6283185307179586,2.292190469540678e-5,0.1438960632876085
0.7330382858376183,2.2921905060807908e-5,0.1429316217519908
0.8377580409572781,2.2921905170194823e-5,0.14194563401864768
0.9424777960769379,2.292190569716939e-5,0.1409811924830826
1.0471975511965976,2.2921905837763973e-5,0.14008044786820675
1.1519173063162573,2.292190550738556e-5,0.13928276703535455
1.2566370614359172,2.2921905227108715e-5,0.13862301246614758
1.361356816555577,2.292190520952495e-5,0.13813001859851362
1.4660765716752366,2.2921904903247874e-5,0.13782533163291624
1.5707963267948966,2.2921904967512087e-5,0.13772226785049
1.6755160819145563,2.292190516622637e-5,0.13782533163294933
1.780235837034216,2.292190468413751e-5,0.1381300185992078
1.8849555921538759,2.292190554264268e-5,0.13862301246592174
1.9896753472735356,2.2921905040485927e-5,0.13928276703588943
2.0943951023931953,2.29219053777751e-5,0.14008044786768373
2.199114857512855,2.2921905765153483e-5,0.14098119248282842
2.3038346126325147,2.2921905630713704e-5,0.14194563401922747
2.4085543677521746,2.2921905539322325e-5,0.14293162175179647
2.5132741228718345,2.2921904839350154e-5,0.14389606328782886
2.617993877991494,2.292190506914134e-5,0.14479680790311408
2.722713633111154,2.292190520238841e-5,0.1455944887360655
2.827433388230814,2.2921905281535034e-5,0.1462542433053354
2.9321531433504733,2.292190502061709e-5,0.14674723717180738
3.036872898470133,2.2921905038310882e-5,0.14705192413792123
3.141592653589793,2.2921905252315653e-5,0.14715498791990617
